date,closed_pnl_sum,closed_pnl_mean,closed_pnl_std,is_profitable_mean,pnl_pct_mean,pnl_pct_std,notional_sum,classification,value
2023-01-05,0.0,0.0,0.0,0.0,0.0,0.0,477.0,Fear,29.0
2023-05-12,0.0,0.0,0.0,0.0,0.0,0.0,50005.83,Neutral,49.0
2024-01-01,-129.53146,-7.196192222222223,85.84776860469921,0.05555555555555555,-0.0013542542015653443,0.003440567229372747,264239.52999999997,Greed,65.0
2024-01-02,0.0,0.0,0.0,0.0,0.0,0.0,2008.18,Greed,71.0
2024-01-03,8244.241409,60.176944591240876,111.95860869453276,0.9343065693430657,0.032565632189129355,0.01046117314895638,472974.7,Greed,70.0
2024-01-04,2507.963406,32.57095332467532,92.06770180124278,0.5454545454545454,0.016572840290398703,0.02212454103267563,339470.47,Greed,68.0
2024-01-05,0.0,0.0,0.0,0.0,0.0,0.0,87025.45,Greed,72.0
2024-01-06,91.510419,3.66041676,7.909299454844354,0.36,0.005425889771607049,0.007890785219546902,12834.62,Greed,70.0
2024-01-07,5065.839308,79.1537391875,207.33447463371925,0.40625,0.010594283518320438,0.020101858630523575,362670.14999999997,Greed,71.0
2024-01-08,167.080017,2.9312283684210527,23.197203266011744,0.07017543859649122,0.0006039157603025443,0.00549732795149133,227774.53,Greed,71.0
2024-01-09,137.433093,11.452757750000002,25.479618769976113,0.4166666666666667,0.00831330510721093,0.012684747451682072,12359.68,Extreme Greed,76.0
2024-01-10,0.0,0.0,0.0,0.0,0.0,0.0,139954.32,Greed,73.0
2024-01-11,1040.475736,45.238075478260875,154.1983753462747,0.2608695652173913,0.001057055999248273,0.003048590055300371,260981.03,Extreme Greed,76.0
2024-01-12,40886.364494,98.28453003365385,338.03944268346726,0.53125,0.20091040547544997,0.34500857573293453,814711.82,Greed,71.0
2024-02-01,783.979116,46.11641858823529,134.42834386429288,0.47058823529411764,0.058406688516638015,0.06594859439925187,121348.74,Greed,63.0
2024-02-02,456.423473,10.867225547619048,41.93124714430262,0.30952380952380953,0.022223144022871393,0.06176904322838269,474278.43,Greed,63.0
2024-02-03,230.90060000000005,7.448406451612905,250.64780257055287,0.6774193548387096,-0.07441265725752054,0.22786436604009502,63197.56,Greed,60.0
2024-02-04,883.760812,21.555141756097562,78.23542802217051,0.2926829268292683,0.003054798992125541,0.009013954657576682,239664.50999999998,Greed,60.0
2024-02-06,192.906947,2.074268247311828,4.425015055071825,0.3655913978494624,0.007257002555745298,0.010565780756765005,29464.51,Greed,64.0
2024-02-07,2421.253116,134.514062,226.36405308073617,0.7222222222222222,0.04432659383224497,0.03174660129412312,33347.47,Greed,62.0
2024-02-08,782.3681909999999,12.418542714285714,44.14907581961201,0.2698412698412698,0.0029892530797759127,0.005186633430987867,396320.37,Greed,66.0
2024-02-09,0.0,0.0,0.0,0.0,0.0,0.0,30000.42,Greed,72.0
2024-02-10,0.0,0.0,0.0,0.0,0.0,0.0,99954.34,Greed,74.0
2024-02-11,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,Greed,71.0
2024-02-12,18489.604313,68.48001597407408,379.90364074572494,0.4074074074074074,0.08225570797091272,0.19963799287706765,585243.56,Greed,70.0
2024-03-01,866.015507,12.925604582089552,50.415365667933756,0.417910447761194,0.0023976180793674386,0.0053876206791217355,394499.36,Extreme Greed,80.0
